datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27
26.09.2021;Bundestagswahl;14713000;;Mockau-Nord;11;11;6699;2091;0;8790;6002;1968;59;5943;55;5947;1379;1340;1484;1089;591;554;1282;1381;450;605;269;385;0;166;121;73;0;15;142;119;0;24;14;6;0;6;15;5;71;62;0;6;0;10;0;15;36;22;0;28;0;14;0;22;45;0;8;0;33;0;3;0;;
26.09.2021;Bundestagswahl;14713000;;Thekla;6;6;3380;1325;0;4705;3333;1201;38;3295;32;3301;725;713;913;702;305;282;723;776;213;317;182;209;0;72;67;36;0;7;65;58;0;10;2;1;0;3;8;3;30;32;0;3;0;6;0;9;23;17;0;17;0;19;0;9;20;0;3;0;12;0;4;0;;
26.09.2021;Bundestagswahl;14713000;;Plaußig-Portitz;4;4;1787;685;0;2472;2032;647;24;2008;22;2010;422;408;639;454;141;122;340;407;228;309;117;157;0;42;30;18;0;3;45;32;0;6;5;4;0;0;1;1;23;25;0;0;0;3;0;1;5;2;0;11;0;4;0;1;8;0;2;0;2;0;0;0;;
26.09.2021;Bundestagswahl;14713000;;Neustadt-Neuschönefeld;10;10;5514;3092;0;8606;6491;2971;41;6450;27;6464;468;458;566;391;2433;1831;910;886;355;444;1285;1936;0;91;215;147;0;3;65;47;0;30;12;8;0;8;15;6;57;46;0;6;0;5;0;14;31;17;0;13;0;30;0;47;19;0;6;0;12;0;1;0;;
26.09.2021;Bundestagswahl;14713000;;Volkmarsdorf;9;9;5216;2294;0;7510;5075;2120;52;5023;36;5039;422;411;408;303;2099;1673;656;622;242;283;821;1267;0;94;202;140;0;10;41;33;0;26;14;6;0;8;5;5;53;51;0;13;0;6;0;5;23;9;0;11;0;29;0;34;17;0;2;0;18;0;0;0;;
26.09.2021;Bundestagswahl;14713000;;Anger-Crottendorf;11;11;6101;2982;0;9083;6891;2800;53;6838;46;6845;784;776;947;651;1684;1280;1131;1135;469;589;1235;1661;0;148;239;183;0;10;110;75;0;43;29;26;0;17;14;4;91;84;0;8;0;5;0;15;54;30;0;31;0;28;0;46;26;0;4;0;20;0;1;0;;
26.09.2021;Bundestagswahl;14713000;;Sellerhausen-Stünz;9;9;5266;1765;0;7031;4878;1670;62;4816;61;4817;852;853;1036;725;646;576;1051;1098;391;458;426;558;0;142;131;87;0;13;86;86;0;32;13;4;0;4;10;4;66;64;0;3;0;5;0;4;34;23;0;32;0;20;0;26;38;0;4;0;29;0;3;0;;
26.09.2021;Bundestagswahl;14713000;;Paunsdorf;13;13;8325;2143;0;10468;6448;1977;72;6376;68;6380;1545;1526;1504;1071;709;664;1355;1522;432;553;313;382;0;174;131;82;0;27;146;126;0;38;10;6;0;6;7;2;72;68;0;3;0;10;0;5;40;16;0;58;0;19;0;22;63;0;8;0;37;0;4;0;;
26.09.2021;Bundestagswahl;14713000;;Heiterblick;4;4;2290;894;0;3184;2563;858;29;2534;19;2544;496;471;739;527;232;213;610;722;216;293;114;141;0;47;24;20;0;1;45;44;0;10;4;2;0;3;1;1;15;22;0;1;0;4;0;0;10;5;0;13;0;3;0;1;11;0;9;0;8;0;0;0;;
26.09.2021;Bundestagswahl;14713000;;Mölkau;7;7;3294;1592;0;4886;4035;1505;36;3999;30;4005;682;665;1232;885;328;283;799;946;372;519;327;389;0;64;46;34;0;1;98;73;0;18;16;9;0;4;6;4;41;57;0;3;0;0;0;4;20;7;0;16;0;15;0;9;22;0;1;0;9;0;0;0;;
26.09.2021;Bundestagswahl;14713000;;Engelsdorf;9;9;5531;2065;0;7596;5852;1964;51;5801;48;5804;1116;1103;1975;1241;420;416;1064;1343;501;739;328;444;0;127;118;90;0;13;114;103;0;24;25;10;0;3;8;3;56;65;0;7;0;7;0;4;19;9;0;28;0;14;0;11;31;0;5;0;21;0;0;0;;
26.09.2021;Bundestagswahl;14713000;;Baalsdorf;3;3;983;474;0;1457;1283;458;2;1281;0;1283;194;200;449;290;97;88;241;265;110;177;117;175;0;14;16;12;0;1;30;25;0;8;0;2;0;0;2;0;13;14;0;1;0;0;0;1;3;3;0;0;0;6;0;1;8;0;1;0;0;0;0;0;;
26.09.2021;Bundestagswahl;14713000;;Althen-Kleinpösna;3;3;1303;401;0;1704;1274;367;12;1262;10;1264;332;309;403;279;85;79;187;245;106;162;48;65;0;37;22;17;0;7;43;31;0;4;1;0;0;1;0;0;16;13;0;1;0;3;0;0;7;4;0;6;0;1;0;0;2;0;2;0;6;0;2;0;;
26.09.2021;Bundestagswahl;14713000;;Reudnitz-Thonberg;20;20;10584;6360;0;16944;13226;6020;74;13152;49;13177;958;920;1308;1005;3896;2533;1869;2317;740;966;3369;4094;0;285;422;321;0;11;186;155;82;77;64;44;0;41;23;8;169;151;0;17;0;10;0;19;55;41;0;42;0;47;0;73;;;;;;;;;11;0
26.09.2021;Bundestagswahl;14713000;;Stötteritz;16;16;9160;4714;0;13874;10884;4472;88;10796;67;10817;1211;1155;1934;1495;1930;1327;1842;2233;983;1208;2021;2183;0;287;296;224;0;13;182;164;80;79;67;37;0;39;13;16;181;154;0;33;0;12;0;8;41;28;0;32;0;37;0;53;;;;;;;;;15;0
26.09.2021;Bundestagswahl;14713000;;Probstheida;7;7;3962;1430;0;5392;4209;1342;36;4173;26;4183;694;684;1012;809;588;387;877;1109;335;426;408;416;0;73;55;45;0;7;65;63;24;18;13;3;0;9;3;1;75;63;0;11;0;2;0;5;13;10;0;14;0;19;0;9;;;;;;;;;11;0
26.09.2021;Bundestagswahl;14713000;;Meusdorf;4;4;2064;656;0;2720;2054;629;17;2037;13;2041;448;432;512;414;285;223;332;399;168;232;164;168;0;40;30;30;0;4;42;34;9;6;0;1;0;3;2;2;36;32;0;0;0;1;0;1;7;3;0;6;0;10;0;0;;;;;;;;;2;0
26.09.2021;Bundestagswahl;14713000;;Liebertwolkwitz;6;6;3092;1253;0;4345;3414;1192;26;3388;26;3388;846;810;862;698;293;236;606;698;381;464;199;192;0;87;47;31;0;5;80;75;8;12;5;3;0;1;4;4;46;36;0;0;0;4;0;2;7;4;0;17;0;6;0;3;;;;;;;;;4;0
26.09.2021;Bundestagswahl;14713000;;Holzhausen;7;7;3573;1789;0;5362;4288;1693;25;4263;23;4265;834;821;1193;937;447;341;716;893;433;531;402;418;0;80;66;46;0;5;66;60;13;12;11;6;0;7;6;4;64;51;0;14;0;3;0;3;6;5;0;8;0;14;0;6;;;;;;;;;6;0
26.09.2021;Bundestagswahl;14713000;;Südvorstadt;26;26;11655;8088;0;19743;17215;7764;120;17095;74;17141;831;903;1840;1370;5532;3134;2299;3305;958;1344;4547;5756;0;246;455;333;0;2;159;122;77;69;48;25;0;35;14;13;268;256;0;4;0;6;0;15;54;35;0;21;0;56;0;91;;;;;;;;;13;0
26.09.2021;Bundestagswahl;14713000;;Connewitz;19;19;9418;5447;0;14865;12242;5154;85;12157;64;12178;652;661;1296;1052;5118;3461;1456;2039;484;661;2151;3177;0;206;580;384;0;2;107;99;43;53;24;16;0;23;18;14;185;193;0;10;0;3;0;17;33;24;0;12;0;35;0;36;;;;;;;;;10;0
26.09.2021;Bundestagswahl;14713000;;Marienbrunn;7;7;3211;1626;0;4837;4019;1536;38;3981;23;3996;476;454;853;696;744;519;766;992;318;422;531;552;0;77;86;70;0;4;67;54;24;16;9;6;0;3;12;4;80;69;0;8;0;2;0;2;9;6;0;15;0;9;0;16;;;;;;;;;6;0
26.09.2021;Bundestagswahl;14713000;;Lößnig;11;11;6018;2462;0;8480;6172;2275;64;6108;52;6120;907;866;1101;927;1257;928;1378;1658;392;497;644;680;0;143;130;95;0;9;113;102;40;28;16;6;0;2;13;8;87;78;0;11;0;7;0;11;23;19;0;12;0;16;0;17;;;;;;;;;7;0
26.09.2021;Bundestagswahl;14713000;;Dölitz-Dösen;5;5;2633;1049;0;3682;2877;1007;24;2853;10;2867;419;409;559;453;523;337;469;617;235;301;384;419;0;71;90;59;0;5;57;54;15;15;18;14;0;4;3;2;63;59;0;4;0;6;0;5;12;7;0;8;0;8;0;10;;;;;;;;;6;0
26.09.2021;Bundestagswahl;14713000;;Schleußig;13;13;5536;3571;0;9107;8076;3402;43;8033;21;8055;409;398;1013;839;2107;1228;1066;1484;455;652;2415;2770;0;77;204;156;0;4;81;79;35;30;44;22;0;25;11;7;167;170;0;12;0;5;0;6;22;15;0;8;0;33;0;35;;;;;;;;;4;0
26.09.2021;Bundestagswahl;14713000;;Plagwitz;15;15;7974;4368;0;12342;9921;4177;59;9862;37;9884;740;715;1178;919;2660;1697;1388;1761;672;910;2547;2997;0;158;292;231;0;8;116;98;41;46;39;31;0;31;10;11;142;135;0;8;0;3;0;8;30;29;0;21;0;34;0;33;;;;;;;;;7;0
26.09.2021;Bundestagswahl;14713000;;Kleinzschocher;9;9;5870;1867;0;7737;5596;1747;41;5555;39;5557;787;775;723;559;1369;914;880;1029;367;442;913;1140;0;161;180;134;0;10;106;87;50;48;19;17;0;13;13;14;112;97;0;3;0;8;0;4;26;17;0;29;0;21;0;35;;;;;;;;;10;0
26.09.2021;Bundestagswahl;14713000;;Großzschocher;10;10;5684;1972;0;7656;5690;1838;61;5629;63;5627;1073;1030;1241;1036;800;554;1113;1309;453;550;532;580;0;135;115;98;0;7;116;100;39;32;11;7;0;6;10;9;112;102;0;2;0;11;0;2;10;6;0;17;0;19;0;15;;;;;;;;;4;0
26.09.2021;Bundestagswahl;14713000;;Knautkleeberg-Knauthain;6;6;3253;1267;0;4520;3765;1202;20;3745;15;3750;667;657;1034;723;504;333;567;807;367;487;382;419;0;74;63;56;0;5;52;53;26;21;10;5;0;5;3;0;64;64;0;7;0;4;0;2;3;6;0;10;0;7;0;5;;;;;;;;;3;0
26.09.2021;Bundestagswahl;14713000;;Hartmannsdorf-Knautnaundorf;3;3;746;292;0;1038;885;306;12;873;13;872;171;176;279;186;81;63;127;174;85;112;80;92;0;19;9;5;0;1;19;14;5;4;3;2;0;1;1;0;12;14;0;1;0;1;0;0;1;0;0;0;0;2;0;5;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;;Schönau;5;5;3051;1103;0;4154;2905;1039;32;2873;22;2883;552;521;541;467;505;326;613;753;250;320;226;227;0;60;59;43;0;9;48;43;13;19;5;3;0;7;9;5;44;33;0;1;0;4;0;3;5;3;0;14;0;11;0;11;;;;;;;;;3;0
26.09.2021;Bundestagswahl;14713000;;Grünau-Ost;8;8;4808;1287;0;6095;4028;1180;54;3974;51;3977;826;794;715;649;764;509;937;1137;247;279;219;220;0;114;73;55;0;18;65;42;21;26;19;11;0;3;12;12;58;56;0;2;0;6;0;1;14;5;0;22;0;9;0;7;;;;;;;;;4;0
