datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27
26.09.2021;Bundestagswahl;14713000;2919;2919;1;1;350;104;0;454;288;0;3;285;1;287;94;93;88;69;12;16;38;40;20;33;11;10;0;9;2;3;0;1;9;6;0;0;1;0;0;0;0;0;6;4;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;;
26.09.2021;Bundestagswahl;14713000;3001;3001;1;1;760;555;0;1315;592;10;1;591;0;592;40;37;75;55;174;112;79;102;28;44;148;181;0;16;24;16;0;0;7;7;5;4;2;0;0;0;2;0;6;7;0;2;0;0;0;2;1;1;0;3;0;1;0;2;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3009;3009;1;1;691;491;0;1182;494;4;1;493;0;494;45;36;32;30;166;104;69;96;32;33;101;124;0;12;20;17;0;3;8;5;1;5;4;2;0;2;0;0;12;10;0;0;0;0;0;2;3;3;0;2;0;2;0;6;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3011;3011;1;1;738;527;0;1265;458;9;5;453;1;457;31;34;39;33;150;102;62;70;29;33;115;145;0;11;12;9;0;0;3;6;3;0;1;0;0;2;1;0;7;9;0;1;0;0;0;0;0;0;0;1;0;0;0;1;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3019;3019;1;1;718;532;0;1250;574;4;3;571;3;571;45;43;41;34;190;125;80;95;26;32;152;197;0;12;27;12;0;0;1;3;1;3;1;3;0;1;1;0;4;5;0;0;0;0;0;2;1;1;0;1;0;1;0;1;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;3021;3021;1;1;733;604;0;1337;592;6;2;590;1;591;26;22;52;34;175;101;73;97;39;57;189;225;0;8;15;16;0;0;5;6;2;2;1;2;0;0;0;0;11;8;0;2;0;0;0;1;2;4;0;0;0;3;0;3;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3029;3029;1;1;786;641;0;1427;555;3;4;551;3;552;46;43;64;42;127;83;73;90;53;68;134;157;0;12;13;12;0;0;11;11;9;2;5;4;0;1;1;1;12;13;0;0;0;1;0;1;2;2;0;4;0;4;0;1;;;;;;;;;1;0
26.09.2021;Bundestagswahl;14713000;3031;3031;1;1;1020;499;0;1519;612;4;3;609;1;611;71;70;64;56;175;122;90;109;36;40;115;134;0;21;20;16;0;0;12;13;8;3;3;2;0;4;3;0;10;13;0;0;0;0;0;1;2;2;0;1;0;3;0;1;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3049;3049;1;1;774;456;0;1230;605;4;3;602;1;604;47;49;54;32;188;101;88;120;29;51;143;185;0;15;24;21;0;0;8;5;8;9;1;1;0;2;2;1;8;5;0;3;0;0;0;2;2;0;0;1;0;1;0;0;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3051;3051;1;1;756;445;0;1201;519;3;3;516;3;516;51;50;45;29;161;91;92;101;21;41;95;139;0;15;27;14;0;1;6;4;2;5;2;0;0;3;0;0;14;13;0;0;0;2;0;0;0;0;0;1;0;0;0;7;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3069;3069;1;1;848;488;0;1336;644;7;8;636;6;638;62;56;64;64;199;120;102;116;28;28;139;192;0;21;15;16;0;0;7;4;3;3;4;1;0;3;1;1;10;6;0;0;0;1;0;0;2;4;0;0;0;2;0;0;;;;;;;;;0;0
26.09.2021;Bundestagswahl;14713000;3071;3071;1;1;889;378;0;1267;610;9;1;609;1;609;82;78;62;52;195;130;102;131;32;38;84;111;0;15;20;19;0;2;8;7;8;4;2;2;0;3;1;1;5;4;0;3;0;0;0;1;6;3;0;0;0;3;0;2;;;;;;;;;2;0
